actual_debt,canonical_claim,usable_revenue,debt_claim_ratio,funding_gap,discount_bps,bonus_output,critical
1139500,1000000,0,1.1395,139500,500,7342,True
1139750,1000000,0,1.13975,139750,500,7355,True
1140000,1000000,0,1.14,140000,500,7368,True
1140250,1000000,0,1.14025,140250,500,7381,True
1140500,1000000,0,1.1405,140500,500,7394,True
1140750,1000000,0,1.14075,140750,500,7407,True
1141000,1000000,0,1.141,141000,500,7421,True
1141250,1000000,0,1.14125,141250,500,7434,True
1141500,1000000,0,1.1415,141500,500,7447,True
1141750,1000000,0,1.14175,141750,500,7460,True
1142000,1000000,0,1.142,142000,500,7473,True
1142250,1000000,0,1.14225,142250,500,7486,True
1142500,1000000,0,1.1425,142500,500,7500,True
1142750,1000000,0,1.14275,142750,500,7513,True
1143000,1000000,0,1.143,143000,500,7526,True
1143250,1000000,0,1.14325,143250,500,7539,True
1143500,1000000,0,1.1435,143500,500,7552,True
1143750,1000000,0,1.14375,143750,500,7565,True
1144000,1000000,0,1.144,144000,500,7578,True
1144250,1000000,0,1.14425,144250,500,7592,True
1144500,1000000,0,1.1445,144500,500,7605,True
1144750,1000000,0,1.14475,144750,500,7618,True
1145000,1000000,0,1.145,145000,500,7631,True
1145250,1000000,0,1.14525,145250,500,7644,True
1145500,1000000,0,1.1455,145500,500,7657,True
1145750,1000000,0,1.14575,145750,500,7671,True
1146000,1000000,0,1.146,146000,500,7684,True
1146250,1000000,0,1.14625,146250,500,7697,True
1146500,1000000,0,1.1465,146500,500,7710,True
1146750,1000000,0,1.14675,146750,500,7723,True
1147000,1000000,0,1.147,147000,500,7736,True
1147250,1000000,0,1.14725,147250,500,7750,True
1147500,1000000,0,1.1475,147500,500,7763,True
1147750,1000000,0,1.14775,147750,500,7776,True
1148000,1000000,0,1.148,148000,500,7789,True
1148250,1000000,0,1.14825,148250,500,7802,True
1148500,1000000,0,1.1485,148500,500,7815,True
1148750,1000000,0,1.14875,148750,500,7828,True
1149000,1000000,0,1.149,149000,500,7842,True
1149250,1000000,0,1.14925,149250,500,7855,True
1149500,1000000,0,1.1495,149500,500,7868,True
1149750,1000000,0,1.14975,149750,500,7881,True
1150000,1000000,0,1.15,150000,500,7894,True
