actual_debt,canonical_claim,usable_revenue,debt_claim_ratio,funding_gap,discount_bps,bonus_output,critical
1028500,1000000,0,1.0285,28500,228,664,False
1028750,1000000,0,1.02875,28750,230,676,False
1029000,1000000,0,1.029,29000,232,688,False
1029250,1000000,0,1.02925,29250,234,700,False
1029500,1000000,0,1.0295,29500,236,713,False
1029750,1000000,0,1.02975,29750,238,725,False
1030000,1000000,0,1.03,30000,240,737,False
1030250,1000000,0,1.03025,30250,242,750,False
1030500,1000000,0,1.0305,30500,244,762,False
1030750,1000000,0,1.03075,30750,246,775,False
1031000,1000000,0,1.031,31000,248,788,False
1031250,1000000,0,1.03125,31250,250,801,False
1031500,1000000,0,1.0315,31500,252,814,False
1031750,1000000,0,1.03175,31750,254,827,False
1032000,1000000,0,1.032,32000,256,840,False
1032250,1000000,0,1.03225,32250,258,854,False
1032500,1000000,0,1.0325,32500,260,867,False
1032750,1000000,0,1.03275,32750,262,881,False
1033000,1000000,0,1.033,33000,264,894,False
1033250,1000000,0,1.03325,33250,266,908,False
1033500,1000000,0,1.0335,33500,268,922,False
1033750,1000000,0,1.03375,33750,270,936,False
1034000,1000000,0,1.034,34000,272,950,False
1034250,1000000,0,1.03425,34250,274,964,False
1034500,1000000,0,1.0345,34500,276,979,False
1034750,1000000,0,1.03475,34750,278,993,False
1035000,1000000,0,1.035,35000,280,1008,False
1035250,1000000,0,1.03525,35250,282,1022,False
1035500,1000000,0,1.0355,35500,284,1037,False
1035750,1000000,0,1.03575,35750,286,1052,False
1036000,1000000,0,1.036,36000,288,1067,False
1036250,1000000,0,1.03625,36250,290,1082,False
1036500,1000000,0,1.0365,36500,292,1097,False
1036750,1000000,0,1.03675,36750,294,1113,False
1037000,1000000,0,1.037,37000,296,1128,False
1037250,1000000,0,1.03725,37250,298,1144,False
1037500,1000000,0,1.0375,37500,300,1159,False
1037750,1000000,0,1.03775,37750,302,1175,False
1038000,1000000,0,1.038,38000,304,1191,False
1038250,1000000,0,1.03825,38250,306,1207,False
1038500,1000000,0,1.0385,38500,308,1223,False
1038750,1000000,0,1.03875,38750,310,1239,False
1039000,1000000,0,1.039,39000,312,1255,False
1039250,1000000,0,1.03925,39250,314,1272,False
1039500,1000000,0,1.0395,39500,316,1288,False
1039750,1000000,0,1.03975,39750,318,1305,False
1040000,1000000,0,1.04,40000,320,1322,False
1040250,1000000,0,1.04025,40250,322,1339,False
1040500,1000000,0,1.0405,40500,324,1356,False
1040750,1000000,0,1.04075,40750,326,1373,False
1041000,1000000,0,1.041,41000,328,1390,False
1041250,1000000,0,1.04125,41250,330,1407,False
1041500,1000000,0,1.0415,41500,332,1425,False
1041750,1000000,0,1.04175,41750,334,1442,False
1042000,1000000,0,1.042,42000,336,1460,False
1042250,1000000,0,1.04225,42250,338,1478,False
1042500,1000000,0,1.0425,42500,340,1495,False
1042750,1000000,0,1.04275,42750,342,1513,False
1043000,1000000,0,1.043,43000,344,1531,False
1043250,1000000,0,1.04325,43250,346,1550,False
1043500,1000000,0,1.0435,43500,348,1568,False
1043750,1000000,0,1.04375,43750,350,1586,False
1044000,1000000,0,1.044,44000,352,1605,False
1044250,1000000,0,1.04425,44250,354,1623,False
1044500,1000000,0,1.0445,44500,356,1642,False
1044750,1000000,0,1.04475,44750,358,1661,False
