marginal_price,ordinary_base,ordinary_quote,inventory_ratio,active_liquidity
0.5,334.51733146950755,70.71067811865476,0.2113812094818181,100.0
0.502,334.23533446660724,70.8519583356734,0.21198225031696066,100.0
0.504,333.9550176869509,70.99295739719538,0.2125823947455825,100.0
0.506,333.67636451108143,71.13367697511495,0.21318164707093779,100.0
0.508,333.39935854877655,71.27411872482185,0.21378001156050333,100.0
0.51,333.1239836349991,71.4142842854285,0.2143774924464054,100.0
0.512,332.85022382593496,71.55417527999327,0.2149740939258396,100.0
0.514,332.5780633951158,71.69379331573968,0.21556982016148382,100.0
0.516,332.3074868296242,71.83313998427188,0.21616467528190572,100.0
0.518,332.0384788263802,71.97221686178634,0.21675866338196284,100.0
0.52,331.7710242885054,72.11102550927978,0.21735178852319734,100.0
0.522,331.50510832176474,72.24956747275377,0.21794405473422465,100.0
0.524,331.2407162310825,72.38784428341543,0.21853546601111595,100.0
0.526,330.9778335171315,72.52585745787499,0.21912602631777464,100.0
0.528,330.7164458729932,72.6636084983398,0.21971573958630772,100.0
0.53,330.45653918088715,72.80109889280519,0.22030460971739135,100.0
0.532,330.19809950896854,72.93833011524188,0.2208926405806306,100.0
0.534,329.9411131081914,73.07530362578044,0.22147983601491403,100.0
0.536,329.68556640923634,73.21202087089252,0.22206619982876338,100.0
0.538,329.43144601950104,73.348483283569,0.22265173580067718,100.0
0.54,329.1787387201524,73.48469228349535,0.22323644767947037,100.0
0.542,328.9274314632384,73.62064927722385,0.22382033918460778,100.0
0.544,328.6775113688582,73.7563556583431,0.2244034140065338,100.0
0.546,328.42896572238976,73.89181280764467,0.22498567580699624,100.0
0.548,328.1817819717729,74.02702209328699,0.2255671282193662,100.0
0.55,327.9359477248465,74.16198487095663,0.22614777484895304,100.0
0.552,327.69145074673946,74.29670248402684,0.2267276192733145,100.0
0.554,327.4482789573128,74.43117626371358,0.22730666504256283,100.0
0.556,327.20642042865313,74.565407529229,0.22788491567966612,100.0
0.558,326.96586338261454,74.6993975879324,0.2284623746807457,100.0
0.56,326.72659618841027,74.83314773547883,0.22903904551536883,100.0
0.562,326.48860736025017,74.96665925596525,0.22961493162683755,100.0
0.5640000000000001,326.25188555502496,75.09993342207434,0.23019003643247343,100.0
0.5660000000000001,326.01641957003574,75.23297149521612,0.23076436332389808,100.0
0.5680000000000001,325.7821983407669,75.3657747256671,0.23133791566730968,100.0
0.5700000000000001,325.54921093870246,75.4983443527075,0.23191069680375623,100.0
0.5720000000000001,325.31744656918437,75.63068160475616,0.232482710049404,100.0
0.574,325.08689456931177,75.76278769950324,0.23305395869580295,100.0
0.576,324.8575444058806,75.8946638440411,0.2336244460101486,100.0
0.578,324.6293856733622,76.02631123499285,0.23419417523553926,100.0
0.58,324.4024080919207,76.15773105863907,0.2347631495912308,100.0
0.582,324.17660150546715,76.2889244910426,0.2353313722728875,100.0
0.584,323.9519558797515,76.4198926981712,0.2358988464528292,100.0
0.586,323.72846130048913,76.55063683601855,0.23646557528027545,100.0
0.588,323.50610797152336,76.68115805072325,0.23703156188158622,100.0
0.59,323.284886213022,76.81145747868608,0.23759680936049926,100.0
0.592,323.0647864597072,76.94153624668539,0.2381613207983643,100.0
0.594,322.8457992591186,77.07139547199077,0.2387250992543739,100.0
0.596,322.62791526990804,77.20103626247513,0.23928814776579185,100.0
0.598,322.41112526016605,77.33045971672482,0.23985046934817733,100.0
0.6,322.1954201057787,77.45966692414834,0.2404120669956074,100.0
0.602,321.98079078881483,77.58865896508328,0.24097294368089553,100.0
0.604,321.76722839594277,77.7174369109018,0.2415331023558077,100.0
0.606,321.5547241168751,77.84600182411425,0.24209254595127536,100.0
0.608,321.3432692428423,77.9743547584717,0.24265127737760614,100.0
0.61,321.13285516509404,78.10249675906654,0.2432092995246909,100.0
0.612,320.92347337342653,78.2304288624318,0.24376661526220886,100.0
0.614,320.7151154547371,78.35815209663893,0.24432322743982957,100.0
0.616,320.50777309160446,78.48566748139434,0.24487913888741264,100.0
0.618,320.30143806089416,78.61297602813418,0.24543435241520417,100.0
0.62,320.0961022323886,78.74007874011811,0.24598887081403165,100.0
0.622,319.8917575674416,78.86697661252141,0.2465426968554955,100.0
0.624,319.68839611765645,78.99367063252599,0.24709583329215856,100.0
0.626,319.4860100235878,79.12016177940993,0.24764828285773277,100.0
0.628,319.28459151346533,79.2464510246358,0.24820004826726413,100.0
0.63,319.0841329019405,79.37253933193772,0.24875113221731437,100.0
0.632,318.884626588855,79.49842765740716,0.2493015373861414,100.0
0.634,318.6860650580302,79.62411694957753,0.24985126643387628,100.0
