price_move_pct,price_ratio,equity,tracking_loss,closed_form_pre_adjustment
-50,0.5,100.0,8.578643762690492,29.28932188134524
-45,0.55,100.0,6.67603025808674,25.838015129043367
-40,0.6,100.0,5.080666151703324,22.54033307585166
-35,0.65,100.0,3.7548450340290045,19.377422517014498
-30,0.7,100.0,2.66799469318489,16.333997346592444
-25,0.75,100.0,1.794919243112272,13.397459621556141
-20,0.8,100.0,1.114561800016825,10.557280900008415
-15,0.85,100.0,0.6091108541422535,7.804555427071125
-10,0.9,100.0,0.2633403898972404,5.131670194948623
-5,0.95,100.0,0.06411310382072215,2.5320565519103666
0,1.0,100.0,0.0,0.0
5,1.05,100.0,0.06098468080803279,2.469507659595993
10,1.1,100.0,0.23823036596969144,4.880884817015163
15,1.15,100.0,0.5238941047278344,7.238052947636087
20,1.2,100.0,0.9109769979335531,9.544511501033215
25,1.25,100.0,1.3932022500210317,11.80339887498949
30,1.3,100.0,1.9649149801724064,14.017542509913806
35,1.35,100.0,2.6209992275549885,16.189500386222512
40,1.4,100.0,3.3568086760153575,18.32159566199232
45,1.45,100.0,4.168108424154093,20.41594578792296
50,1.5,100.0,5.051025721682185,22.474487139158896
55,1.55,100.0,6.002008040225349,24.49899597988732
60,1.6,100.0,7.017787186529654,26.491106406735177
65,1.65,100.0,8.095348426697418,28.45232578665129
70,1.7,100.0,9.231903791894052,30.384048104052972
75,1.75,100.0,10.424868893540944,32.287565553229534
80,1.8,100.0,11.671842700025238,34.16407864998738
85,1.85,100.0,12.970589825291128,36.01470508735443
90,1.9,100.0,14.319024958195559,37.84048752090221
95,1.95,100.0,15.715199124621174,39.6424004376894
100,2.0,100.0,17.157287525380998,41.42135623730952
