scenario,day,utilization,rate_at_target_apr,borrow_rate_apr
zero_util,0,0.0,0.04,0.01
zero_util,1,0.0,0.03780821917808219,0.009452054794520548
zero_util,2,0.0,0.03573653593544755,0.008934133983861888
zero_util,3,0.0,0.03377836958282029,0.008444592395705072
zero_util,4,0.0,0.031927500016638355,0.007981875004159589
zero_util,5,0.0,0.030178047960932142,0.007544511990233036
zero_util,6,0.0,0.02852445629183997,0.007131114072959992
zero_util,7,0.0,0.02696147238543778,0.006740368096359445
zero_util,8,0.0,0.02548413143281105,0.006371032858202763
zero_util,9,0.0,0.024087740669369348,0.006021935167342337
zero_util,10,0.0,0.022767864468308013,0.005691966117077003
zero_util,11,0.0,0.021520310250866478,0.005380077562716619
zero_util,12,0.0,0.02034111516862722,0.005085278792156805
zero_util,13,0.0,0.019226533515551755,0.004806633378887939
zero_util,14,0.0,0.018173024829768097,0.004543256207442024
zero_util,15,0.0,0.01717724264731505,0.004294310661828763
zero_util,16,0.0,0.016236023872119705,0.004059005968029926
zero_util,17,0.0,0.015346378728441913,0.0038365946821104784
zero_util,18,0.0,0.014505481263869753,0.0036263703159674383
zero_util,19,0.0,0.013710660372698807,0.0034276650931747018
zero_util,20,0.0,0.012959391311181064,0.003239847827795266
zero_util,21,0.0,0.01224928767769169,0.0030623219194229226
zero_util,22,0.0,0.011578093832338722,0.0028945234580846804
zero_util,23,0.0,0.0109436777319366,0.00273591943298415
zero_util,24,0.0,0.01034402415758391,0.0025860060393959774
zero_util,25,0.0,0.009777228313332737,0.0024443070783331843
zero_util,26,0.0,0.009241489775615876,0.002310372443903969
zero_util,27,0.0,0.008735106774212267,0.0021837766935530667
zero_util,28,0.0,0.008256470786584197,0.0020641176966460493
zero_util,29,0.0,0.0078040614284152,0.0019510153571038
zero_util,30,0.0,0.007376441624118477,0.0018441104060296191
target_util,0,0.9,0.04,0.04
target_util,1,0.9,0.04,0.04
target_util,2,0.9,0.04,0.04
target_util,3,0.9,0.04,0.04
target_util,4,0.9,0.04,0.04
target_util,5,0.9,0.04,0.04
target_util,6,0.9,0.04,0.04
target_util,7,0.9,0.04,0.04
target_util,8,0.9,0.04,0.04
target_util,9,0.9,0.04,0.04
target_util,10,0.9,0.04,0.04
target_util,11,0.9,0.04,0.04
target_util,12,0.9,0.04,0.04
target_util,13,0.9,0.04,0.04
target_util,14,0.9,0.04,0.04
target_util,15,0.9,0.04,0.04
target_util,16,0.9,0.04,0.04
target_util,17,0.9,0.04,0.04
target_util,18,0.9,0.04,0.04
target_util,19,0.9,0.04,0.04
target_util,20,0.9,0.04,0.04
target_util,21,0.9,0.04,0.04
target_util,22,0.9,0.04,0.04
target_util,23,0.9,0.04,0.04
target_util,24,0.9,0.04,0.04
target_util,25,0.9,0.04,0.04
target_util,26,0.9,0.04,0.04
target_util,27,0.9,0.04,0.04
target_util,28,0.9,0.04,0.04
target_util,29,0.9,0.04,0.04
target_util,30,0.9,0.04,0.04
full_util,0,1.0,0.04,0.16
full_util,1,1.0,0.04219178082191781,0.16876712328767124
full_util,2,1.0,0.04450365922311879,0.17801463689247515
full_util,3,1.0,0.046942215892878725,0.1877688635715149
full_util,4,1.0,0.04951439210618715,0.1980575684247486
full_util,5,1.0,0.052227509481868634,0.20891003792747453
full_util,6,1.0,0.05508929082334089,0.22035716329336355
full_util,7,1.0,0.05810788210133217,0.23243152840532869
full_util,8,1.0,0.06129187564113119,0.24516750256452477
full_util,9,1.0,0.06465033458037125,0.258601338321485
full_util,10,1.0,0.06819281866696694,0.27277127466786777
full_util,11,1.0,0.07192941147063636,0.28771764588254545
full_util,12,1.0,0.07587074908546575,0.303482996341863
full_util,13,1.0,0.0800280504052173,0.3201122016208692
full_util,14,1.0,0.08441314905755797,0.33765259623023186
full_util,15,1.0,0.08903852708810908,0.3561541083524363
full_util,16,1.0,0.09391735049019725,0.375669401960789
full_util,17,1.0,0.09906350668144094,0.39625402672576376
full_util,18,1.0,0.10449164403384867,0.4179665761353947
full_util,19,1.0,0.11021721356994997,0.4408688542797999
full_util,20,1.0,0.11625651294364586,0.46502605177458345
full_util,21,1.0,0.12262673283096892,0.4905069313238757
full_util,22,1.0,0.12934600586280284,0.5173840234512114
full_util,23,1.0,0.13643345823884684,0.5457338329553874
full_util,24,1.0,0.14390926416974256,0.5756370566789702
full_util,25,1.0,0.1517947033023312,0.6071788132093248
full_util,26,1.0,0.16011222129150002,0.6404488851660001
full_util,27,1.0,0.16888549369103426,0.675541974764137
full_util,28,1.0,0.1781394933453375,0.71255797338135
full_util,29,1.0,0.18790056147384912,0.7516022458953965
full_util,30,1.0,0.19819648265049838,0.7927859306019935
